ТЭА R1A,ТЭА R1B,ТЭА/КК Р1А,ТЭА/КК Р1В,донор R1A,донор R1B,донор/КК Р1А,донор/КК З1В,нефрас R1A,нефрас R1B,ПП/нр Р1А,ПП/нр Р1В,водород R1A,водород R1B,Н2/ПП Р1А,Н2/ПП Р1В,пропилен R1A,пропилен R1B,К R1A,К R1B,давление R1A,температура R1A,давление R1B,температура R1B,Произв.
21.52680291,21.42042726,0.11343076,0.104186315,2.540281629,2.528382334,0.013385456,0.01229774,5985.407017,5979.502291,1.052618467,1.052283062,0.224621498,0.154090465,3.56522E-05,2.44894E-05,6300.349961,6292.128977,189.7792358,205.5973206,7.615296708,70.02108256,7.488444503,69.98583476,11274.82966
21.39584676,21.47293448,0.112688279,0.104203425,2.52513872,2.534830685,0.013299475,0.012300975,5985.805117,5979.306793,1.052571657,1.052386602,0.225561036,0.154197372,3.58006E-05,2.45048E-05,6300.488808,6292.54236,189.8675435,206.067454,7.596414864,70.02529144,7.476153326,70.07499695,11288.08407
21.51810561,21.43253711,0.113279509,0.103770637,2.537222413,2.529620901,0.013356906,0.012247751,5986.256632,5980.47027,1.052453014,1.052008718,0.226390027,0.154874287,3.59335E-05,2.46164E-05,6300.253837,6291.506864,189.9558512,206.5375875,7.560592121,70.01797994,7.431148567,70.01449585,11257.90666
21.62155807,21.43011074,0.113771232,0.103523244,2.553453246,2.529802792,0.013436105,0.012220814,5984.385175,5979.783274,1.052733452,1.052307618,0.227680339,0.156109735,3.614E-05,2.48086E-05,6299.962463,6292.571493,190.0441589,207.0077209,7.513614498,70.01948039,7.382084127,70.04547119,11260.04019
21.52162096,21.46785302,0.113872114,0.104624988,2.539684461,2.533738896,0.013437614,0.012348342,5986.310429,5983.182058,1.052468918,1.05173353,0.229056122,0.157758681,3.63558E-05,2.50701E-05,6300.405658,6292.713188,188.9981689,205.1885834,7.453522414,70.01663208,7.319887694,70.03311157,11249.70378
21.42322869,21.44051498,0.113982337,0.105426432,2.528257006,2.528835232,0.013451597,0.012434686,5986.406116,5968.430101,1.052493609,1.054119173,0.229881443,0.158929681,3.64853E-05,2.52613E-05,6300.654177,6291.436599,187.952179,203.3694458,7.392549119,70.00989278,7.313489117,69.78487651,11249.17758
21.43021908,21.43928881,0.114657622,0.106371898,2.528833103,2.52793527,0.013529959,0.012542453,5986.24058,5971.542051,1.052467448,1.053728195,0.230807957,0.159116902,3.66343E-05,2.52872E-05,6300.323344,6292.382229,186.906189,201.5503082,7.332307271,70.01003265,7.431060968,70.05851746,11264.51602
21.48560378,21.45702033,0.115550874,0.107044012,2.53503456,2.533671327,0.013633569,0.012639888,5984.730367,5978.576711,1.052553809,1.052336385,0.231216839,0.158267482,3.67055E-05,2.51559E-05,6299.250743,6291.473804,185.9406433,200.4504496,7.278358058,70.01589457,7.4351176,70.07176717,11242.32171
21.54608766,21.44848593,0.116481018,0.107591785,2.542350913,2.530626365,0.013744287,0.012694351,5985.927588,5980.798374,1.052496889,1.052066493,0.231413336,0.157497769,3.67313E-05,2.50306E-05,6300.170166,6292.197573,184.9750977,199.350591,7.22576683,70.05841573,7.397556676,70.05434672,11258.29563
21.57657565,21.41702054,0.117257911,0.108029969,2.546085003,2.528109719,0.0138367,0.012752083,5983.964697,5980.598413,1.052720506,1.052089346,0.242157286,0.17545044,3.84411E-05,2.78841E-05,6299.442346,6292.123873,184.009552,198.2507324,7.185142684,70.21486918,7.349894746,70.16215007,11259.03015
21.51171569,21.438628,0.120631604,0.111117045,2.539313964,2.529692355,0.014239753,0.013111471,5985.366522,5981.485659,1.052581656,1.051955736,0.248731235,0.18666153,3.94806E-05,2.96653E-05,6300.087008,6292.25815,178.3257039,192.9373474,7.185658344,71.12353007,7.30796685,70.89500427,11273.72343
21.51827437,21.44684904,0.124641121,0.114307622,2.538352148,2.531612719,0.014702994,0.013493014,5986.206049,5983.838531,1.052445251,1.051655537,0.258291718,0.201417441,4.09977E-05,3.20069E-05,6300.154126,6292.936922,172.6418559,187.6239624,7.176092422,72.68671672,7.254226271,72.06960042,11313.58457
21.53875723,21.46698427,0.129007033,0.117749527,2.542761025,2.534916617,0.015229943,0.013904386,5988.637809,5988.638603,1.052292558,1.050894228,0.257389352,0.200495091,4.08438E-05,3.18579E-05,6301.798999,6293.425743,166.9580078,182.3105774,7.054360453,73.25553894,7.091368872,71.92357381,11347.27127
21.50816651,21.42104309,0.14862792,0.132508372,2.537364779,2.527129005,0.017533956,0.01563256,5985.63574,5971.024729,1.052382016,1.053544098,0.2469369,0.189216471,3.92015E-05,3.00786E-05,6299.175407,6290.73786,144.7114817,161.6580353,6.819719116,70.52996318,6.972901581,69.57341512,11356.63248
21.11636667,21.43403691,0.172427831,0.152008524,2.492463489,2.526937168,0.020352463,0.017920842,5976.717704,5959.508148,1.053787423,1.055427311,0.240649418,0.178715113,3.82093E-05,2.84134E-05,6298.18995,6289.827661,122.4649557,141.0054932,7.161706976,69.63661194,7.305734948,69.93347168,11373.96965
