ТЭА R1A,ТЭА R1B,ТЭА/КК Р1А,ТЭА/КК Р1В,донор R1A,донор R1B,донор/КК Р1А,донор/КК З1В,нефрас R1A,нефрас R1B,ПП/нр Р1А,ПП/нр Р1В,водород R1A,водород R1B,Н2/ПП Р1А,Н2/ПП Р1В,пропилен R1A,пропилен R1B,К R1A,К R1B,давление R1A,давление R1B,Произв
28.07133937,28.00362215,0.14586508,0.138194873,3.929340822,3.916758758,0.020417751,0.019328785,5938.825659,5938.075806,1.05264227,1.052735807,0.233027454,0.166857326,3.73e-05,2.67e-05,6251.458923,6251.225024,192.44729,202.6386475,7.838112056,7.637150121,11135.69103
27.95261431,27.99474187,0.145360825,0.13817103,3.912770849,3.917100263,0.020347421,0.019333266,5933.968848,5935.095874,1.052989647,1.052972569,0.233765977,0.167623531,3.74e-05,2.68e-05,6248.407764,6249.493152,192.2981262,202.6093445,7.834161198,7.642468405,11127.763
27.82164855,27.99505358,0.144792083,0.138192555,3.894198537,3.930304289,0.02026656,0.019401241,5938.121069,5937.652661,1.052431436,1.052451674,0.236030688,0.169101509,3.78e-05,2.71e-05,6249.465283,6249.09248,192.1489624,202.5800415,7.829085612,7.645834517,11123.44296
28.07239294,28.01297426,0.146210533,0.138301023,3.929993355,3.921749598,0.020468737,0.019361813,5938.907776,5936.091125,1.052647014,1.052815742,0.238497484,0.170879058,3.82e-05,2.73e-05,6251.573535,6249.610181,191.9997986,202.5507385,7.824119675,7.646325946,11128.93593
28.2055562,28.01165662,0.147154535,0.138414292,3.950519699,3.925982869,0.020610722,0.0193995,5937.555188,5937.953455,1.052645574,1.052662099,0.240806777,0.173240164,3.85e-05,2.77e-05,6250.141187,6250.658545,191.6730347,202.3754639,7.824176168,7.651253462,11124.12801
27.92616835,27.99879341,0.145945715,0.138470659,3.910462922,3.918170989,0.020436578,0.019377682,5939.985168,5940.07644,1.052674191,1.052539763,0.24289984,0.175420487,3.88e-05,2.81e-05,6252.86908,6252.16665,191.3462708,202.2001892,7.819031978,7.665948069,11131.51607
27.95230532,28.00497422,0.146332203,0.138621389,3.913281453,3.916442394,0.020486292,0.019385938,5938.377112,5938.317163,1.05257728,1.052763826,0.244879119,0.177419076,3.92e-05,2.84e-05,6250.60083,6251.645496,191.0195068,202.0249146,7.804884744,7.673011982,11115.20782
28.11923742,28.00453734,0.145650538,0.13759836,3.936544067,3.915952033,0.020390303,0.01924076,5936.533911,5937.461475,1.052925801,1.052591863,0.246370334,0.178920097,3.94e-05,2.86e-05,6250.729724,6249.723633,193.0596191,203.5237732,7.79604789,7.682057178,11106.18408
27.84863548,28.00269356,0.142740512,0.136583426,3.89966321,3.919088441,0.01998805,0.019115394,5936.334558,5938.646008,1.052468605,1.052643659,0.247395584,0.180305832,3.96e-05,2.88e-05,6247.80575,6251.278064,195.0997314,205.0226318,7.804178143,7.683816564,11103.68665
27.74699259,28.52290978,0.140747766,0.138111098,3.981156233,4.03914547,0.020194579,0.019557991,5937.087695,5938.554114,1.052669467,1.052676857,0.248152476,0.181129294,3.97e-05,2.9e-05,6249.790942,6251.378479,197.1398438,206.5214905,7.802991414,7.681941438,11099.59255
27.98213644,27.97203121,0.14218821,0.135170282,3.926015371,3.907127291,0.019949624,0.018880556,5935.288562,5935.749304,1.053230891,1.053265288,0.248518487,0.181567749,3.98e-05,2.9e-05,6251.22926,6251.918701,196.79646,206.939209,7.825941396,7.673456872,11107.51235
28.1475791,28.03849897,0.143278892,0.13521853,3.942072725,3.91923005,0.020066231,0.018900888,5936.048193,5936.470935,1.052845232,1.05281557,0.248613321,0.181467268,3.98e-05,2.9e-05,6249.740039,6250.009033,196.4530762,207.3569275,7.822039402,7.668774307,11102.33546
27.89480934,27.9792182,0.14224085,0.134661369,3.902463907,3.91347149,0.019899393,0.018835173,5937.745923,5937.672766,1.05266618,1.052581618,0.246977256,0.17984229,3.95e-05,2.88e-05,6250.464319,6249.885205,196.1096924,207.774646,7.818689954,7.656800759,11116.11054
27.95431232,28.01114054,0.142289015,0.134878672,3.92030279,3.918981153,0.019954561,0.018870598,5936.478296,5937.929333,1.052645362,1.052513191,0.247649364,0.180048143,3.96e-05,2.88e-05,6249.006348,6249.74895,196.4614929,207.6765747,7.810760081,7.649197888,11121.16858
28.11438951,28.00570912,0.142848021,0.13491623,3.934490985,3.917784768,0.019990982,0.01887375,5938.701221,5935.526257,1.052717316,1.053055311,0.250223937,0.182083279,4e-05,2.91e-05,6251.773608,6250.437451,196.8132935,207.5785034,7.790287852,7.68120054,11138.19704
